species,decimalLatitude,decimalLongitude,speciation
Espeletia uribei,5,-74.1667,0.08442793
Espeletia uribei,5,-74.1667,0.398798436
Espeletia uribei,5,-74.1667,0.217002717
Espeletia uribei,5,-74.1667,0.811575541
Espeletia uribei,5,-74.1667,0.192007319
Espeletia uribei,5,-74.1667,0.167871338
Espeletia uribei,5,-74.1667,0.37490578
Espeletia grandiflora,5,-74.16667,0.015039358
Espeletia grandiflora,5,-74.16667,0.099245052
Espeletia grandiflora,5,-74.16667,0.028353159
Espeletia grandiflora,5,-74.16667,0.285986918
Espeletia barclayana,4.97418,-74.1595,0.604732812
Espeletia barclayana,4.97418,-74.1595,0.126836825
Espeletia argentea,5.02511,-74.1505,0.560873388
Espeletia argentea,5.02511,-74.1505,0.506274294
Espeletia grandiflora,5.0265,-74.1503,0.285461535
Espeletia grandiflora,4.25715,-74.11755,0.057848172
Espeletia grandiflora,4.25715,-74.11755,0.533154715
Espeletia grandiflora,4.25715,-74.11755,0.316203248
Espeletia grandiflora,4.25715,-74.11755,0.616895807
Espeletia grandiflora,4.42551,-74.1174,0.472657123
Espeletia killipii,4.42551,-74.1174,0.588667217
Espeletia killipii,4.42551,-74.1174,0.24362283
Espeletia grandiflora,4.253033,-74.11645,0.578342982
Espeletia grandiflora,4.253033,-74.11645,0.386957752
Espeletia grandiflora,4.253033,-74.11645,0.336111716
Espeletia grandiflora,4.253033,-74.11645,0.014493806
Espeletia barclayana,4.788363,-74.114764,0.211723915
Espeletia grandiflora,4.256383,-74.113933,0.426429836
Espeletia grandiflora,4.256383,-74.113933,0.612562654
Espeletia grandiflora,4.256383,-74.113933,0.35220885
Espeletia grandiflora,4.256383,-74.113933,0.194234432
Espeletia grandiflora,4.256383,-74.113933,0.417983322
